49	119	27	821	2019-11-20
50	69	0	727	2019-11-21
51	117	415	955	2019-11-22
52	46	91	578	2019-11-23
53	21	1	364	2019-11-24
54	135	548	613	2019-11-25
55	226	182	895	2019-11-26
56	260	27	793	2019-11-27
57	49	41	317	2019-11-28
